지점번호,년월일,시간,유입유출 구분,차로번호,교통량
DEMO-N,20250514,00,유입,1,28
DEMO-N,20250514,00,유입,2,28
DEMO-N,20250514,00,유입,3,28
DEMO-N,20250514,00,유출,1,24
DEMO-N,20250514,00,유출,2,24
DEMO-N,20250514,00,유출,3,23
DEMO-N,20250514,01,유입,1,17
DEMO-N,20250514,01,유입,2,17
DEMO-N,20250514,01,유입,3,17
DEMO-N,20250514,01,유출,1,15
DEMO-N,20250514,01,유출,2,14
DEMO-N,20250514,01,유출,3,14
DEMO-N,20250514,02,유입,1,12
DEMO-N,20250514,02,유입,2,11
DEMO-N,20250514,02,유입,3,11
DEMO-N,20250514,02,유출,1,10
DEMO-N,20250514,02,유출,2,10
DEMO-N,20250514,02,유출,3,9
DEMO-N,20250514,03,유입,1,9
DEMO-N,20250514,03,유입,2,8
DEMO-N,20250514,03,유입,3,8
DEMO-N,20250514,03,유출,1,7
DEMO-N,20250514,03,유출,2,7
DEMO-N,20250514,03,유출,3,7
DEMO-N,20250514,04,유입,1,12
DEMO-N,20250514,04,유입,2,11
DEMO-N,20250514,04,유입,3,11
DEMO-N,20250514,04,유출,1,10
DEMO-N,20250514,04,유출,2,10
DEMO-N,20250514,04,유출,3,9
DEMO-N,20250514,05,유입,1,28
DEMO-N,20250514,05,유입,2,28
DEMO-N,20250514,05,유입,3,28
DEMO-N,20250514,05,유출,1,24
DEMO-N,20250514,05,유출,2,24
DEMO-N,20250514,05,유출,3,23
DEMO-N,20250514,06,유입,1,85
DEMO-N,20250514,06,유입,2,84
DEMO-N,20250514,06,유입,3,84
DEMO-N,20250514,06,유출,1,72
DEMO-N,20250514,06,유출,2,72
DEMO-N,20250514,06,유출,3,71
DEMO-N,20250514,07,유입,1,211
DEMO-N,20250514,07,유입,2,211
DEMO-N,20250514,07,유입,3,210
DEMO-N,20250514,07,유출,1,179
DEMO-N,20250514,07,유출,2,179
DEMO-N,20250514,07,유출,3,179
DEMO-N,20250514,08,유입,1,281
DEMO-N,20250514,08,유입,2,281
DEMO-N,20250514,08,유입,3,280
DEMO-N,20250514,08,유출,1,239
DEMO-N,20250514,08,유출,2,239
DEMO-N,20250514,08,유출,3,238
DEMO-N,20250514,09,유입,1,225
DEMO-N,20250514,09,유입,2,225
DEMO-N,20250514,09,유입,3,224
DEMO-N,20250514,09,유출,1,191
DEMO-N,20250514,09,유출,2,191
DEMO-N,20250514,09,유출,3,191
DEMO-N,20250514,10,유입,1,183
DEMO-N,20250514,10,유입,2,182
DEMO-N,20250514,10,유입,3,182
DEMO-N,20250514,10,유출,1,155
DEMO-N,20250514,10,유출,2,155
DEMO-N,20250514,10,유출,3,155
DEMO-N,20250514,11,유입,1,183
DEMO-N,20250514,11,유입,2,182
DEMO-N,20250514,11,유입,3,182
DEMO-N,20250514,11,유출,1,155
DEMO-N,20250514,11,유출,2,155
DEMO-N,20250514,11,유출,3,155
DEMO-N,20250514,12,유입,1,197
DEMO-N,20250514,12,유입,2,196
DEMO-N,20250514,12,유입,3,196
DEMO-N,20250514,12,유출,1,167
DEMO-N,20250514,12,유출,2,167
DEMO-N,20250514,12,유출,3,167
DEMO-N,20250514,13,유입,1,191
DEMO-N,20250514,13,유입,2,191
DEMO-N,20250514,13,유입,3,191
DEMO-N,20250514,13,유출,1,163
DEMO-N,20250514,13,유출,2,162
DEMO-N,20250514,13,유출,3,162
DEMO-N,20250514,14,유입,1,186
DEMO-N,20250514,14,유입,2,185
DEMO-N,20250514,14,유입,3,185
DEMO-N,20250514,14,유출,1,158
DEMO-N,20250514,14,유출,2,158
DEMO-N,20250514,14,유출,3,157
DEMO-N,20250514,15,유입,1,197
DEMO-N,20250514,15,유입,2,196
DEMO-N,20250514,15,유입,3,196
DEMO-N,20250514,15,유출,1,167
DEMO-N,20250514,15,유출,2,167
DEMO-N,20250514,15,유출,3,167
DEMO-N,20250514,16,유입,1,225
DEMO-N,20250514,16,유입,2,225
DEMO-N,20250514,16,유입,3,224
DEMO-N,20250514,16,유출,1,191
DEMO-N,20250514,16,유출,2,191
DEMO-N,20250514,16,유출,3,191
DEMO-N,20250514,17,유입,1,267
DEMO-N,20250514,17,유입,2,267
DEMO-N,20250514,17,유입,3,266
DEMO-N,20250514,17,유출,1,227
DEMO-N,20250514,17,유출,2,227
DEMO-N,20250514,17,유출,3,226
DEMO-N,20250514,18,유입,1,253
DEMO-N,20250514,18,유입,2,253
DEMO-N,20250514,18,유입,3,252
DEMO-N,20250514,18,유출,1,215
DEMO-N,20250514,18,유출,2,215
DEMO-N,20250514,18,유출,3,214
DEMO-N,20250514,19,유입,1,197
DEMO-N,20250514,19,유입,2,196
DEMO-N,20250514,19,유입,3,196
